generation,best_fitness_generation,mean_fitness_generation,best_fitness_global,best_accuracy,best_precision,best_recall,best_f1_score,best_auc_roc,param_C,param_penalty,param_class_weight,param_fit_intercept,param_intercept_scaling
1,0.9673198199148478,0.6716870836964176,0.9673198199148478,0.9736263736263735,0.9708853238265004,0.9588235294117646,0.9644323075227378,0.993704850361197,0.03,l2,balanced,True,1.0
2,0.9673829366419358,0.9545246648710112,0.9673829366419358,0.9736263736263737,0.9707070707070707,0.9588235294117646,0.9644349680170576,0.9941176470588236,0.03,l2,,False,1.0
3,0.9694743372241639,0.9648537640245479,0.9694743372241639,0.9736263736263735,0.9650029708853237,0.9647058823529411,0.9646105606421672,0.9938080495356039,0.03,l2,balanced,False,1.0
4,0.9694743372241639,0.9647774058699787,0.9694743372241639,0.9736263736263735,0.9650029708853237,0.9647058823529411,0.9646105606421672,0.9938080495356039,0.03,l2,balanced,False,1.0
