generation,best_fitness_generation,mean_fitness_generation,best_fitness_global,best_accuracy,best_precision,best_recall,best_f1_score,best_auc_roc,param_C,param_penalty,param_class_weight,param_fit_intercept,param_intercept_scaling
1,0.9732428277066856,0.7419908858336794,0.9732428277066856,0.9758241758241759,0.9657142857142856,0.9705882352941175,0.9675808249721294,0.9955624355005159,0.3,l2,balanced,False,0.5
2,0.9732428277066856,0.8595060794807381,0.9732428277066856,0.9758241758241759,0.9657142857142856,0.9705882352941175,0.9675808249721294,0.9955624355005159,0.3,l2,balanced,False,0.5
3,0.9732428277066856,0.9675337330602447,0.9732428277066856,0.9758241758241759,0.9657142857142856,0.9705882352941175,0.9675808249721294,0.9955624355005159,0.3,l2,balanced,False,0.5
4,0.9732428277066856,0.9664937681855157,0.9732428277066856,0.9758241758241759,0.9657142857142856,0.9705882352941175,0.9675808249721294,0.9955624355005159,0.3,l2,balanced,False,0.5
5,0.9732428277066856,0.8613262256500167,0.9732428277066856,0.9758241758241759,0.9657142857142856,0.9705882352941175,0.9675808249721294,0.9955624355005159,0.3,l2,balanced,False,0.5
