feature,importance
texture_worst,0.8765392854958064
radius_se,0.8201443250110945
area_worst,0.751899942922894
area_se,0.6932044685680395
radius_worst,0.6908589833868058
symmetry_worst,0.6797614035608243
concave points_mean,0.670438926437734
perimeter_worst,0.6107143345797328
perimeter_se,0.5793205483378706
concavity_mean,0.5740559046145346
concavity_worst,0.5593672134466737
compactness_se,0.5530722180171815
concave points_worst,0.5366635820015314
texture_mean,0.4945864234730908
area_mean,0.48016594482087893
smoothness_worst,0.4611438899436633
radius_mean,0.379733977080377
perimeter_mean,0.3722137546205717
fractal_dimension_se,0.33962268897108017
smoothness_mean,0.2192543535023954
compactness_mean,0.15879354274409788
smoothness_se,0.15168035712351946
concave points_se,0.14761459652862813
texture_se,0.14600005374293737
fractal_dimension_mean,0.1306224382510526
fractal_dimension_worst,0.13014423246126636
symmetry_se,0.106350662984615
concavity_se,0.06688290693936481
symmetry_mean,0.028637088303104387
compactness_worst,0.0016207879276048738
