generation,best_fitness_generation,mean_fitness_generation,best_fitness_global,best_accuracy,best_precision,best_recall,best_f1_score,best_auc_roc,param_C,param_penalty,param_class_weight,param_fit_intercept,param_intercept_scaling
1,0.9746956856657546,0.7919090676858718,0.9746956856657546,0.9780219780219781,0.9710822510822512,0.9705882352941178,0.9706683971447111,0.995252837977296,0.3,l2,balanced,False,0.5
2,0.9746956856657546,0.9689137413197508,0.9746956856657546,0.9780219780219781,0.9710822510822512,0.9705882352941178,0.9706683971447111,0.995252837977296,0.3,l2,balanced,False,0.5
3,0.9746956856657546,0.9711248925062665,0.9746956856657546,0.9780219780219781,0.9710822510822512,0.9705882352941178,0.9706683971447111,0.995252837977296,0.3,l2,balanced,False,0.5
4,0.9754039351434574,0.9696040429651223,0.9754039351434574,0.9824175824175825,0.9882352941176471,0.9647058823529413,0.9760194502600121,0.9961816305469556,0.3,l2,,False,0.5
5,0.9754039351434574,0.9701082015627132,0.9754039351434574,0.9824175824175825,0.9882352941176471,0.9647058823529413,0.9760194502600121,0.9961816305469556,0.3,l2,,False,0.5
