model,accuracy,precision,recall,f1_score,auc_roc
LogisticRegression_GA_optimized,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.998015873015873
LogisticRegression_baseline,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.996031746031746
SVM_baseline,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9947089947089947
RandomForest_baseline,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9928902116402116
KNN_baseline,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.982308201058201
NaiveBayes_baseline,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9890873015873015
